lexicon,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_com
real,18508,22523,4.96009179143,6197,0.298714684728,0.3473757662,0.0263030498628
0,16328,20271,4.97615883401,6197,0.281493931127,0.337383395759,0.031628207197
1,16323,20226,4.97509462554,6197,0.271509588907,0.331569658974,0.0385670485719
2,16182,20097,4.97485048941,6197,0.28121924218,0.331772007478,0.0324350492174
3,16069,20134,4.97321529306,6197,0.277026811852,0.333583826239,0.0356624172987
4,16296,20356,4.97572645212,6197,0.279922616977,0.329740701274,0.0358237857028
5,16135,20092,4.97451566821,6197,0.276927781595,0.326390339698,0.0313054703889
6,15944,19839,4.97462000033,6197,0.275044952664,0.326972437321,0.0324350492174
7,16412,20407,4.97555956239,6197,0.278594243176,0.334716395685,0.0304986283686
8,16076,20046,4.97477558697,6197,0.275982751401,0.332293645423,0.0369533645312
9,15854,19819,4.97297188617,6197,0.27862989754,0.325878287579,0.0319509440052
10,16111,20060,4.97435909189,6197,0.280653007124,0.332710899405,0.0285622075198
11,16409,20334,4.97482449754,6197,0.276099787477,0.330315073822,0.0319509440052
12,16246,20233,4.97254591108,6197,0.279781886478,0.326182708816,0.0327577860255
13,16298,20182,4.97294980088,6197,0.280633196807,0.332640268123,0.0324350492174
14,16063,20117,4.97722252161,6197,0.279396832444,0.331169503101,0.0351783120865
15,16116,20230,4.97696843669,6197,0.282847968356,0.328349620417,0.0321123124092
16,16133,20071,4.97634260023,6197,0.280734194865,0.330622502767,0.0345328384702
17,16190,20187,4.97309663676,6197,0.273755026421,0.328316601392,0.0345328384702
18,16456,20440,4.97348088941,6197,0.27556547799,0.331056454098,0.0322736808133
19,16177,20207,4.96863389926,6197,0.273143354835,0.327632815373,0.0327577860255
20,16197,20198,4.97665715923,6197,0.282028869872,0.327344092503,0.0335646280458
21,16375,20330,4.97727299482,6197,0.275669113027,0.325801534973,0.0325964176214
22,16145,20223,4.97626092635,6197,0.283083574108,0.329616600708,0.0330805228336
23,16543,20539,4.9744539961,6197,0.287237075828,0.330829909777,0.0335646280458
24,16301,20310,4.97593131394,6197,0.280888064131,0.337676956151,0.0348555752784
25,16274,20339,4.97553679997,6197,0.277185803372,0.330296641565,0.0309827335808
26,16249,20077,4.97504769431,6197,0.281651304461,0.32627319091,0.0350169436824
27,16282,20418,4.97391535482,6197,0.275668220903,0.328394411298,0.0335646280458
28,16081,19992,4.97775069321,6197,0.278607489887,0.333490807171,0.0332418912377
29,16620,20590,4.97373528685,6197,0.277743399137,0.333253311585,0.0355010488946
30,16353,20306,4.97849185235,6197,0.283843296933,0.334233879989,0.031628207197
31,16132,20112,4.97634322528,6197,0.273829664548,0.330571050063,0.0284008391157
32,16100,20068,4.97417126282,6197,0.271184498061,0.326068719991,0.0330805228336
33,16292,20267,4.97370257563,6197,0.272056762694,0.328332914462,0.0327577860255
34,16418,20453,4.97425278043,6197,0.282055260401,0.339526273162,0.0317895756011
35,15927,19942,4.97591266646,6197,0.274191072494,0.335497987786,0.0334032596418
36,16381,20334,4.97217874327,6197,0.282822275718,0.332343743682,0.0329191544296
37,16206,20171,4.97467021309,6197,0.285049433949,0.333177015806,0.0321123124092
38,16148,20021,4.97595173241,6197,0.283906269634,0.332666662005,0.0329191544296
39,16329,20323,4.97484543688,6197,0.26596912193,0.326785290159,0.0334032596418
40,16268,20337,4.97475641861,6197,0.281060127298,0.331538448472,0.0304986283686
41,16518,20561,4.97132502211,6197,0.273963385502,0.330266152172,0.0330805228336
42,15893,19758,4.97267691222,6197,0.273402659628,0.327969018933,0.0298531547523
43,16371,20410,4.96966758421,6197,0.281531738797,0.32956138493,0.0321123124092
44,16662,20661,4.97149284942,6197,0.280002264637,0.330546097433,0.0313054703889
45,16139,20150,4.97220416218,6197,0.281359445392,0.333634136014,0.0337259964499
46,16358,20262,4.97523984668,6197,0.274878124463,0.331099382492,0.0346942068743
47,16411,20436,4.97415584479,6197,0.280338475261,0.323366191796,0.0309827335808
48,16595,20653,4.97080851821,6197,0.285208399906,0.332765826735,0.034048733258
49,16237,20259,4.97345036588,6197,0.2768698136,0.326828656295,0.0317895756011
50,16424,20427,4.97252741987,6197,0.285591276022,0.33288228674,0.0321123124092
51,16053,20064,4.97676565839,6197,0.273459218623,0.333613014174,0.0337259964499
52,16328,20291,4.97408536982,6197,0.279262064605,0.334124832653,0.0321123124092
53,16354,20228,4.97551648567,6197,0.278255550242,0.328797340541,0.0298531547523
54,16430,20474,4.97562086988,6197,0.278539939956,0.32614703703,0.031466838793
55,16557,20418,4.97683931072,6197,0.283648458265,0.338464994937,0.0330805228336
56,16347,20360,4.97422256943,6197,0.277931203404,0.331632083608,0.0330805228336
57,16092,20058,4.97420376569,6197,0.269415078175,0.328543235093,0.0325964176214
58,16392,20387,4.9743258077,6197,0.282153171861,0.333860743548,0.0329191544296
59,16249,20241,4.97296922968,6197,0.283449989514,0.335898080573,0.0335646280458
60,16418,20460,4.97811963201,6197,0.285860287213,0.333177852982,0.0311441019848
61,16420,20316,4.97535761749,6197,0.276440550944,0.329450695352,0.0322736808133
62,16189,20116,4.97301345233,6197,0.281907353678,0.328237665459,0.0309827335808
63,16253,20266,4.97602606188,6197,0.277480502585,0.326797696664,0.0337259964499
64,16548,20554,4.97416886677,6197,0.28335511651,0.338000477245,0.0329191544296
65,15987,19824,4.97492424592,6197,0.272169424583,0.327857900318,0.0350169436824
66,16402,20501,4.97242235851,6197,0.288255830607,0.333826192907,0.0304986283686
67,15888,19702,4.9784381497,6197,0.279802701987,0.328488361627,0.0350169436824
68,16604,20647,4.96987385241,6197,0.278841861881,0.329560899111,0.0317895756011
69,16270,20262,4.9748600215,6197,0.269622171646,0.32989088538,0.0346942068743
70,16288,20310,4.97467531771,6197,0.280874713654,0.330010128292,0.0332418912377
71,16214,20162,4.97555237426,6197,0.276218171004,0.328958196182,0.0322736808133
72,16210,20169,4.97735446034,6197,0.281927424109,0.324696072186,0.0335646280458
73,16172,20060,4.97734393857,6197,0.277268409668,0.328288634135,0.031466838793
74,16436,20533,4.97239626246,6197,0.284824753065,0.336413576484,0.0321123124092
75,16059,20103,4.97420381777,6197,0.271075831672,0.325011288705,0.0325964176214
76,16503,20472,4.97190137505,6197,0.287149811915,0.336082867821,0.0306599967726
77,16672,20714,4.97114391238,6197,0.276325764055,0.329366260042,0.0332418912377
78,16306,20207,4.97909128024,6197,0.285798329885,0.339435208613,0.033887364854
79,16351,20244,4.97374461059,6197,0.273509385089,0.332059980034,0.0306599967726
80,15711,19589,4.97390493724,6197,0.278106537447,0.324164188767,0.0321123124092
81,16070,20081,4.97317805019,6197,0.278167236261,0.329383540211,0.0319509440052
82,16297,20363,4.97295287407,6197,0.279780005351,0.330902323202,0.0366306277231
83,16242,20193,4.97650573962,6197,0.278439997558,0.325820089304,0.0311441019848
84,16672,20682,4.9686307219,6197,0.27699946439,0.331534941804,0.031466838793
85,16385,20457,4.97313117105,6197,0.281902186891,0.331091430594,0.0342101016621
86,16609,20624,4.97005407665,6197,0.277372520341,0.335197446861,0.0324350492174
87,16279,20142,4.97629337713,6197,0.274113901571,0.326980736989,0.033887364854
88,16403,20463,4.97384201502,6197,0.282161043479,0.329198339785,0.0335646280458
89,16176,20078,4.96993161793,6197,0.276208120204,0.325478712372,0.0335646280458
90,16258,20195,4.97591605218,6197,0.278960888679,0.329112335735,0.031628207197
91,16303,20290,4.97343838566,6197,0.283685454462,0.331124160503,0.0343714700662
92,16065,20078,4.9744362862,6197,0.270435644916,0.333224031397,0.0334032596418
93,16308,20366,4.9717604772,6197,0.282276629871,0.331717428482,0.0298531547523
94,16127,20048,4.97845924531,6197,0.281924986927,0.340666298211,0.0327577860255
95,16075,20007,4.97642974333,6197,0.277396934707,0.327943166677,0.0322736808133
96,16383,20415,4.97576765367,6197,0.280164962975,0.331173731262,0.0348555752784
97,16239,20275,4.97786242182,6197,0.272772842211,0.326020067341,0.0306599967726
98,16491,20468,4.97316310095,6197,0.279489594,0.33466401638,0.0324350492174
99,16156,20177,4.9748690848,6197,0.275037835874,0.333675303125,0.0346942068743
100,15980,19884,4.97334764849,6197,0.284951428967,0.329327562187,0.0319509440052
101,16294,20268,4.97576291367,6197,0.279395472876,0.334412781382,0.0350169436824
102,16494,20475,4.96988031131,6197,0.284364096753,0.333566818432,0.0321123124092
103,16231,20242,4.9761489894,6197,0.281382844882,0.335720284515,0.0321123124092
104,15947,19910,4.97482012215,6197,0.271772586494,0.327640913103,0.0325964176214
105,16504,20574,4.97242147302,6197,0.277831103026,0.33157560045,0.0308213651767
106,15965,20019,4.97266571332,6197,0.268504990989,0.327040618128,0.0303372599645
107,16300,20276,4.9747171964,6197,0.273201554758,0.332095923974,0.0329191544296
108,15733,19757,4.97585620315,6197,0.277079327411,0.330223522128,0.0345328384702
109,16298,20355,4.97223176878,6197,0.28572912963,0.332087866968,0.031466838793
110,16415,20361,4.97660819658,6197,0.276932482412,0.333648377467,0.0306599967726
111,15685,19609,4.97330722825,6197,0.277765938957,0.328772553107,0.0293690495401
112,16322,20281,4.97372966136,6197,0.276507454631,0.333704395409,0.0343714700662
113,16274,20224,4.97736815946,6197,0.278366292113,0.335150421467,0.0351783120865
114,16199,20152,4.97309049038,6197,0.284212212772,0.33061005734,0.0322736808133
115,16318,20376,4.9755073182,6197,0.281188756943,0.330080726808,0.0293690495401
116,16153,20078,4.97449696864,6197,0.282120915135,0.329554644629,0.0348555752784
117,16397,20401,4.97175167434,6197,0.283559899681,0.330100091481,0.0321123124092
118,16499,20613,4.97313382754,6197,0.274838282291,0.328660128134,0.0317895756011
119,16418,20357,4.9704094205,6197,0.273143827587,0.336608204962,0.0346942068743
120,16357,20305,4.97624707097,6197,0.275464995896,0.337177647548,0.033887364854
121,16093,20180,4.9741899103,6197,0.278676693265,0.330968594651,0.0327577860255
122,16096,20081,4.97582495039,6197,0.27346427692,0.327983305139,0.0335646280458
123,16209,20208,4.97454791063,6197,0.286700763844,0.33106636425,0.0295304179442
124,16114,20092,4.97542168564,6197,0.275135321149,0.329484963467,0.0332418912377
125,16370,20339,4.97281994568,6197,0.272411363364,0.326861048234,0.0337259964499
126,16634,20589,4.97660350866,6197,0.279845922011,0.33838297928,0.0306599967726
