lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5
real,0,0,4151,5409,5.53132322487,4121,0.156110082155,0.355445484381,0.523659305994,11,14,11,1372,2779,60,29,60,29,1870,1960,620,4.41422668941,7.7575983101,10.3027715777,11.4095701224,11.3375650405,0.000242659548653,0.0211113807328,0.281242416889,0.711963115749,0.917738413007,3.36373204118,6.21052582011,9.08403514639,10.7390067036,11.0905819572,0.0,0.018927444795,0.198738170347,0.543557388983,0.825770444067
0,0,0,3536,4921,5.57955145678,4121,0.131059126999,0.316391504938,0.516136859985,19,9,12,1486,2050,65,27,65,27,2160,1687,607,4.42322328249,7.7852283042,10.202259629,11.1842609172,11.2024344384,0.0,0.0143169133705,0.196554234409,0.551565154089,0.836932783305,3.49153258585,6.48649060124,9.28083186435,10.8530173437,11.127125627,0.0,0.0177141470517,0.164765833536,0.517350157729,0.819218636253
1,0,0,3236,4536,5.59224573167,4121,0.129464185311,0.310173814472,0.512982285853,14,13,16,1351,1885,61,20,61,20,1925,1478,597,4.40005885338,7.74678004424,10.1649909495,11.1518121385,11.1804421368,0.000485319097306,0.0167435088571,0.197524872604,0.537733559816,0.824557146324,3.53583478475,6.56528181877,9.32317941857,10.8569629113,11.128137779,0.0,0.0184421256976,0.172288279544,0.505702499393,0.814122785732
2,0,0,3442,4833,5.5795769007,4121,0.144443282875,0.309606312362,0.526813880126,8,10,21,1493,1949,54,35,54,35,2152,1559,654,4.43281935571,7.77663490003,10.1670259675,11.1586003262,11.1780753181,0.000242659548653,0.0155302111138,0.195098277117,0.547439941762,0.826013103616,3.49052154957,6.4559957138,9.22814053009,10.8328546693,11.12596699,0.0,0.017471487503,0.165493812182,0.505702499393,0.827469060908
3,0,0,3518,4891,5.57166172317,4121,0.140740386767,0.31478477854,0.527056539675,15,17,11,1464,2054,64,32,64,32,2073,1590,649,4.4104051448,7.74920035387,10.1796341647,11.1874804797,11.2047988291,0.000242659548653,0.0157728706625,0.199466148993,0.554234409124,0.832564911429,3.49800576814,6.48451682781,9.24697418384,10.8008429917,11.1110656843,0.0,0.0179568066003,0.157971366173,0.492113564669,0.818733317156
4,0,0,3467,4782,5.56532795556,4121,0.131893828599,0.303125133965,0.517835476826,13,17,15,1450,2017,69,31,69,31,2072,1577,636,4.42585173826,7.81058807751,10.2003047704,11.1811658495,11.2154771002,0.0,0.0133462751759,0.191701043436,0.553021111381,0.841543314729,3.46028326584,6.42939399927,9.22879687151,10.7934387327,11.1234529119,0.000242659548653,0.0160155302111,0.165251152633,0.504246542101,0.81800533851
5,0,0,3426,4720,5.58404913974,4121,0.136817688506,0.317389224681,0.512496966756,11,15,20,1427,1999,63,26,63,26,2006,1550,622,4.43666488188,7.77831547573,10.2027500952,11.1956948484,11.2030274955,0.000242659548653,0.0157728706625,0.204561999515,0.570492598884,0.834748847367,3.49667207022,6.46086149265,9.24241384148,10.8133397116,11.1465437697,0.0,0.0160155302111,0.161853918952,0.501091967969,0.832322251881
6,0,0,3455,4802,5.57633998723,4121,0.134720011687,0.322380106572,0.510313030818,9,14,14,1483,1972,66,26,66,26,2091,1636,623,4.43023341804,7.78453424847,10.1744177673,11.1772759503,11.1879070393,0.000242659548653,0.0135889347246,0.185149235622,0.553749090027,0.826255763164,3.48483745702,6.49503454913,9.29158007718,10.8157641773,11.1273975205,0.0,0.017471487503,0.166221790827,0.507158456685,0.826498422713
7,0,0,3376,4698,5.58540885778,4121,0.133124578952,0.317468619247,0.503275903907,12,15,12,1391,1985,52,25,52,25,2016,1553,607,4.43657932476,7.7755208809,10.1765853042,11.1753444766,11.2129755488,0.000242659548653,0.0148022324678,0.181509342393,0.559572919194,0.845183207959,3.4947380257,6.52543081264,9.28343724739,10.8496546419,11.1317805309,0.0,0.0157728706625,0.161853918952,0.504246542101,0.817034700315
8,0,0,3573,4934,5.56926681478,4121,0.140318460421,0.325086197098,0.50084930842,9,14,14,1483,2090,52,22,52,22,2107,1686,626,4.40990770921,7.78302344571,10.1834452275,11.202729638,11.2090152733,0.000485319097306,0.0128609560786,0.197767532152,0.568066003397,0.838874059694,3.48794537973,6.45790261498,9.21999058729,10.8142051131,11.0855434546,0.0,0.0206260616355,0.169133705411,0.502547925261,0.804173744237
