lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5
real,0,0,7464,9916,5.32805457518,6728,0.122055166375,0.311403980109,0.455856123662,60,44,38,3375,4089,198,73,198,73,4545,2974,2324,4.33139012123,7.75477941673,10.51913354,11.931596771,11.8849254216,0.0,0.0114447086801,0.201397146254,0.678210463734,0.922413793103,4.44930600623,7.88090481733,10.7364587651,12.0027706029,11.9247648454,0.000148632580262,0.0109988109394,0.206153388823,0.697681331748,0.945897740785
0,0,0,6749,9249,5.37298827891,6728,0.120996354226,0.300261540029,0.450208085612,48,35,35,3293,3456,170,78,170,78,4532,2400,2408,4.33140708078,7.76562088431,10.5815487755,12.0018236752,11.9542577038,0.0,0.0112960760999,0.201248513674,0.695154577883,0.957193816885,4.60832977748,8.28671136787,11.0982449456,12.2273286539,11.9885138834,0.0,0.0163495838288,0.253864447087,0.799791914388,0.976813317479
1,0,0,6691,9270,5.37605085687,6728,0.122592659244,0.297331682437,0.454072532699,46,37,39,3239,3452,179,74,179,74,4566,2278,2417,4.33429855227,7.77009375457,10.5829259053,11.9876752171,11.9569511439,0.000148632580262,0.010255648038,0.194857312723,0.685344827586,0.959126040428,4.60756415854,8.25130706759,11.1336911163,12.2286960363,11.995582093,0.0,0.0126337693222,0.262336504162,0.799197384067,0.981272294887
2,0,0,7048,9763,5.36756251583,6728,0.123312490768,0.307684562407,0.456004756243,57,43,45,3394,3654,209,77,209,77,4728,2419,2531,4.3105776846,7.72065504597,10.5283731862,11.9797254457,11.9533536469,0.000148632580262,0.00758026159334,0.195303210464,0.684007134364,0.958828775268,4.58991140282,8.25115294424,11.1250568195,12.2319092603,11.9910899044,0.0,0.016498216409,0.266349583829,0.800535077289,0.978151010702
3,0,0,6753,9193,5.37575513835,6728,0.127724862955,0.301245384114,0.454072532699,44,41,40,3310,3443,182,85,182,85,4531,2330,2454,4.33583080972,7.76164222617,10.5780672285,11.9924344065,11.9519165212,0.0,0.0108501783591,0.192479191439,0.694262782402,0.957045184304,4.61747068739,8.29343816891,11.1112303014,12.2181305057,11.9916863655,0.000148632580262,0.0156064209275,0.263228299643,0.796521997622,0.979042806183
4,0,0,6756,9319,5.37463603025,6728,0.124141470515,0.307491563555,0.459869203329,49,46,45,3263,3493,208,77,208,77,4530,2346,2460,4.33175650873,7.76928567473,10.5675724756,12.0033518789,11.9542577038,0.0,0.00802615933413,0.186831153389,0.685047562426,0.957193816885,4.59662574347,8.25555518226,11.1080909277,12.2240729654,11.998158114,0.000297265160523,0.0150118906064,0.262782401902,0.798454221165,0.982015457788
5,0,0,6696,9195,5.37507903356,6728,0.122048941615,0.302742452594,0.453923900119,60,29,36,3207,3489,178,78,178,78,4451,2225,2429,4.33108002261,7.77974172154,10.5830867233,11.9960226728,11.9486027001,0.0,0.00832342449465,0.192776456599,0.690695600476,0.955558858502,4.61167529039,8.26449138329,11.1046712627,12.2310172216,11.9995318475,0.0,0.0123365041617,0.259958382878,0.803061831153,0.983650416171
6,0,0,6604,9151,5.3740878109,6728,0.123423537961,0.303773306216,0.44872175981,58,47,35,3167,3437,189,77,189,77,4404,2344,2310,4.35635145876,7.80298529166,10.6118277067,12.0032515967,11.9589307038,0.000148632580262,0.00847205707491,0.200951248514,0.695600475624,0.96016646849,4.60599778896,8.25627540016,11.1179178626,12.2220229708,11.9886946948,0.000297265160523,0.0166468489893,0.265309155767,0.797413793103,0.976664684899
7,0,0,6936,9461,5.37594462445,6728,0.135290084737,0.314885755735,0.457788347206,52,43,40,3339,3597,198,85,198,85,4591,2290,2635,4.32509588175,7.76597797341,10.5561933128,11.9852906954,11.939877081,0.000148632580262,0.0108501783591,0.195154577883,0.690398335315,0.950356718193,4.60916396294,8.28671412847,11.123051379,12.2328735289,11.996657596,0.0,0.015903686088,0.267984542212,0.805439952438,0.981866825208
8,0,0,6731,9356,5.37364494016,6728,0.123290490394,0.304567038651,0.447235434007,53,44,43,3363,3368,194,75,194,75,4675,2280,2485,4.33063053198,7.73285977377,10.5790188486,11.9763248828,11.9556948295,0.000148632580262,0.009661117717,0.195005945303,0.68162901308,0.958680142687,4.60920116272,8.27306267921,11.1080470359,12.2275775391,11.9883964643,0.0,0.0148632580262,0.270659928656,0.800535077289,0.976218787158
