lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5
real,0,0,8666,11719,5.25573170191,6685,0.131992146052,0.309973121487,0.489753178758,62,47,45,4653,4013,224,83,224,83,6403,3364,2926,4.33161387131,7.75198742613,10.4999271993,11.8913543707,11.8121534391,0.0,0.0125654450262,0.205684367988,0.683470456245,0.925056095737,4.44991877808,7.90703505373,10.7239266315,11.9616778439,11.8531305113,0.000149588631264,0.0145100972326,0.219895287958,0.702767389678,0.948541510845
0,0,0,7704,10703,5.30705899888,6685,0.129071802301,0.300945446927,0.485415108452,62,62,41,4368,3336,235,91,235,91,6037,2744,2856,4.34601093115,7.82844472295,10.628413497,11.9990248242,11.8694309535,0.000149588631264,0.0116679132386,0.211368735976,0.721615557218,0.955123410621,4.59100901289,8.26773451793,11.1216422163,12.1915375991,11.9209716965,0.0,0.0182498130142,0.28287210172,0.812565445026,0.980403889304
1,0,0,7858,10870,5.30362163834,6685,0.134912705153,0.301150415787,0.489005235602,54,44,38,4454,3404,203,98,203,98,6187,2719,2995,4.34890285738,7.77618557392,10.5869071134,11.9574508015,11.8842935952,0.0,0.0139117427076,0.205235602094,0.700523560209,0.962303664921,4.59574520094,8.29911492307,11.1104717989,12.1837664212,11.9285931174,0.000149588631264,0.0160059835453,0.282722513089,0.800897531788,0.984143605086
2,0,0,8044,11231,5.29715638368,6685,0.13534604609,0.306753619647,0.488257292446,53,49,41,4514,3530,215,102,215,102,6265,2868,2978,4.34671184123,7.77945563234,10.5878604755,11.9732695018,11.8886047046,0.0,0.0133133881825,0.211069558714,0.704412864622,0.96335078534,4.59977596177,8.27575552282,11.0836710145,12.1737126367,11.9154315303,0.000149588631264,0.0170531039641,0.277786088257,0.798653702319,0.977112939417
3,0,0,8157,11303,5.30026811367,6685,0.136743136369,0.310003485535,0.487509349289,55,59,49,4665,3492,246,117,246,117,6482,2875,3123,4.3411828509,7.79414101578,10.5864423262,11.9630073168,11.8833780897,0.0,0.0121166791324,0.203141361257,0.697382198953,0.961705310396,4.6024785606,8.25039722983,11.0767626965,12.1765770222,11.9219789995,0.000149588631264,0.0146596858639,0.270605833957,0.802543006731,0.981002243829
4,0,0,7756,10821,5.299376535,6685,0.133762521468,0.304981507848,0.481376215408,46,40,42,4325,3431,183,78,183,78,6071,2797,2835,4.35457685963,7.80458325365,10.5988937019,11.9595759512,11.8781514749,0.000299177262528,0.0125654450262,0.212415856395,0.701271503366,0.958863126402,4.59781347514,8.26644094864,11.086429819,12.1745123665,11.9238035053,0.0,0.0157068062827,0.276439790576,0.802692595363,0.982348541511
5,0,0,7961,11061,5.29813784087,6685,0.136361418259,0.306847019392,0.491398653702,63,45,47,4587,3374,239,104,239,104,6394,2884,2853,4.344137068,7.79056731006,10.5724334273,11.9551912173,11.8768306206,0.0,0.0139117427076,0.205235602094,0.702169035153,0.956020942408,4.58884501799,8.26326390751,11.0781854031,12.1620593633,11.9174461362,0.000149588631264,0.0160059835453,0.27105459985,0.797905759162,0.978309648467
6,0,0,7965,10949,5.30027939325,6685,0.133374198235,0.308432097957,0.474195961107,52,46,52,4568,3397,219,92,219,92,6255,2900,2867,4.32963734865,7.78168478093,10.6042146676,11.9947825219,11.886153096,0.000299177262528,0.0125654450262,0.201795063575,0.715632011967,0.961705310396,4.59384078177,8.29108711461,11.1381711337,12.183986134,11.9241837055,0.000149588631264,0.0152580403889,0.275542258788,0.807928197457,0.982049364248
7,0,0,7794,10913,5.30358668061,6685,0.135380802527,0.304523858707,0.48167539267,48,45,36,4454,3340,191,86,191,86,6191,2666,2884,4.34421188908,7.7986126518,10.6000380974,11.9730748242,11.8841952926,0.0,0.0119670905011,0.212415856395,0.701421091997,0.960658189978,4.59537406733,8.27950903247,11.0906212101,12.1725974187,11.9179497877,0.000299177262528,0.0173522812266,0.274943904263,0.802991772625,0.978608825729
8,0,0,7866,10899,5.30136223232,6685,0.137481044928,0.305879297199,0.481974569933,62,50,42,4448,3418,225,88,225,88,6163,2734,2949,4.33477954167,7.77760456342,10.6037715437,11.9806793779,11.8746259146,0.0,0.0106207928197,0.211368735976,0.70531039641,0.955572176515,4.58840634528,8.27046703713,11.0932753182,12.1947200182,11.9209716965,0.000149588631264,0.0148092744951,0.27569184742,0.808975317876,0.980403889304
