lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5
real,0,0,18508,22523,4.96009179143,6197,0.217540644211,0.3473757662,0.662901403905,131,193,120,10028,8480,510,197,510,197,12250,8289,5081,4.39234187549,8.0054201918,10.8899157885,11.7469455126,11.3675037908,0.000161368404066,0.016943682427,0.285783443602,0.773761497499,0.963369372277,4.39696085437,7.77168555922,10.6522577448,11.6288448485,11.3315362513,0.0,0.0135549459416,0.274487655317,0.736969501372,0.952234952396
0,0,0,15935,19863,4.97684399863,6197,0.210044387382,0.330843060416,0.673874455382,108,139,87,8709,7226,392,176,392,176,10875,7032,4550,4.45015981553,8.08497950328,10.8620055795,11.6145407805,11.2690813772,0.000161368404066,0.0108116830725,0.218008713894,0.675326771018,0.923834113281,4.43201701863,7.91911250122,10.7312792081,11.5948638398,11.2644911839,0.0,0.0130708407294,0.25157334194,0.699854768436,0.926416007746
1,0,0,16323,20299,4.97638427057,6197,0.208327833057,0.332581233488,0.66548329837,113,149,93,8891,7432,419,179,419,179,11030,7152,4713,4.43918166529,8.06157557494,10.8262824626,11.6164980231,11.2599999337,0.000161368404066,0.0127481039213,0.212199451347,0.683556559626,0.919315797967,4.44409775495,7.88757493709,10.7119475999,11.5775152845,11.2724529241,0.0,0.0135549459416,0.25318702598,0.697595610779,0.926738744554
2,0,0,16445,20406,4.97286979382,6197,0.203637509146,0.329386030326,0.679199612716,120,168,92,8955,7490,446,160,446,160,11103,7092,4785,4.42065298352,8.05291792349,10.8334322134,11.5950499704,11.2549217341,0.0,0.0125867355172,0.223333871228,0.672099402937,0.91786348233,4.44475471873,7.90093270961,10.7201628783,11.5834771075,11.2654306676,0.000161368404066,0.014523156366,0.255768920445,0.695175084718,0.928513796999
3,0,0,16019,20027,4.97506165388,6197,0.207609747199,0.331667165828,0.67936098112,104,151,98,8860,7159,417,166,417,166,10994,7044,4600,4.45425080269,8.07338894825,10.8228137191,11.5906719397,11.2631166612,0.0,0.0125867355172,0.2142972406,0.671938034533,0.921090850411,4.44578184774,7.91232325181,10.7093619679,11.5970455379,11.287942342,0.000161368404066,0.0146845247701,0.249314184283,0.700822978861,0.933193480716
4,0,0,16063,20089,4.97311523215,6197,0.20778651327,0.327807052825,0.678392770695,103,150,99,8865,7198,415,170,415,170,11038,7105,4569,4.43941631257,8.05795211696,10.8329609858,11.6141835868,11.2680650893,0.0,0.0135549459416,0.213974503792,0.681136033565,0.922543166048,4.44020959787,7.93352912905,10.7243565059,11.5935422145,11.2799358539,0.000161368404066,0.0143617879619,0.253025657576,0.699693400032,0.93093432306
5,0,0,16187,20131,4.97547856566,6197,0.206567986107,0.328105120663,0.665160561562,123,144,78,8714,7473,415,176,415,176,10859,7083,4691,4.44596467815,8.07199054832,10.8390104096,11.6089611317,11.270599591,0.000161368404066,0.0112957882847,0.223656608036,0.6785541391,0.922704534452,4.44142457755,7.92807554727,10.7333352607,11.6152463471,11.2739447819,0.0,0.0133935775375,0.251250605132,0.712441503954,0.931095691464
6,0,0,16161,20125,4.97681493357,6197,0.205052920693,0.322542666134,0.676456349847,108,163,102,8739,7422,443,163,443,163,10927,6993,4582,4.42619841223,8.05952043295,10.8361195944,11.645308064,11.2877014422,0.0,0.0112957882847,0.217685977086,0.690656769405,0.927545586574,4.43823661961,7.91678603448,10.7260259681,11.6003699942,11.2583966964,0.000161368404066,0.0161368404066,0.253832499597,0.701145715669,0.92657737615
7,0,0,16045,19907,4.97639901145,6197,0.207165297726,0.333353055414,0.674358560594,99,166,95,8755,7290,431,166,431,166,10902,7116,4572,4.44810269486,8.06859761623,10.8440769149,11.6267406278,11.2835097592,0.0,0.0117798934969,0.215104082621,0.684847506858,0.929643375827,4.41668784676,7.9085178477,10.7107621845,11.6229011135,11.2830525814,0.0,0.0150072615782,0.25318702598,0.709214135872,0.930127481039
8,0,0,16247,20174,4.97652594974,6197,0.211258840883,0.340831357053,0.656446667742,106,150,99,8875,7372,434,191,434,191,11081,7374,4554,4.45291452751,8.08154623506,10.8459791448,11.6124924035,11.2683338281,0.000161368404066,0.0111344198806,0.225431660481,0.678715507504,0.924318218493,4.44046014018,7.90972121587,10.7167302394,11.6045101847,11.2679569502,0.0,0.0161368404066,0.258996288527,0.698079715992,0.92819106019
9,0,0,16020,20098,4.97521718843,6197,0.209760229813,0.327061184916,0.676940455059,105,157,87,8718,7302,428,181,428,181,10911,7012,4674,4.44415769304,8.08296744156,10.8363529655,11.5842183526,11.2412192688,0.0,0.0119412619009,0.211715346135,0.666128771986,0.912376956592,4.42577789234,7.90344321039,10.7199100221,11.6049488333,11.2676526594,0.0,0.0154913667904,0.257221236082,0.704211715346,0.927222849766
10,0,0,16252,20178,4.97373476597,6197,0.210402909462,0.332276751182,0.682265612393,102,157,87,8844,7408,424,182,424,182,10975,7138,4579,4.43537768639,8.04201014865,10.8219413833,11.5875315347,11.2467051747,0.0,0.0114571566887,0.213651766984,0.672099402937,0.914152009037,4.43214160502,7.88795988192,10.7181200674,11.5983133777,11.273666847,0.0,0.0137163143457,0.258996288527,0.702920768114,0.92819106019
