lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5
real,0,0,13237,16637,4.95285503561,5343,0.195364860586,0.302467146844,0.717012914093,69,68,1,2973,10264,156,151,156,151,4378,5348,2226,4.22249746601,7.74993455697,10.5841091225,11.5412218161,11.222238008,0.0,0.0174059517125,0.2376941793,0.663672094329,0.895751450496,3.43328671263,6.99155386015,9.84071761392,11.2058701095,11.1689095417,0.000187160771102,0.0140370578327,0.222908478383,0.644956017219,0.906981096762
0,0,0,11882,15349,4.96352032663,5343,0.197794094845,0.296210444983,0.731611454239,66,61,2,4665,7217,171,135,171,135,6317,4876,2119,4.26427368354,7.77490285022,10.4606806271,11.3839618126,11.1990346677,0.0,0.0106681639528,0.177241250234,0.588433464346,0.890698109676,3.49992515278,7.04552678721,9.81380064944,11.1513393334,11.1427674063,0.000374321542205,0.0119782893506,0.188845218042,0.603967808347,0.890323788134
1,0,0,12158,15577,4.96147648336,5343,0.204447039192,0.299590189702,0.729178364215,86,58,2,4783,7375,178,139,178,139,6342,5165,2183,4.25630605577,7.7635412608,10.4725091108,11.4007215842,11.2140842867,0.0,0.0125397716639,0.178738536403,0.595545573648,0.89650009358,3.49131806333,7.02502775318,9.80543374663,11.1259184184,11.140984883,0.000187160771102,0.0119782893506,0.192214111922,0.59086655437,0.883586000374
2,0,0,12167,15726,4.95375061847,5343,0.196666759773,0.29686405291,0.729927007299,69,70,2,4720,7447,173,138,173,138,6415,5053,2258,4.23228522483,7.75057381529,10.4502176508,11.3812682152,11.205848174,0.0,0.0117911285794,0.18510200262,0.583754445068,0.890698109676,3.48497949423,7.00186281715,9.77965098594,11.1196993751,11.1393170055,0.000187160771102,0.0125397716639,0.181545947969,0.591989518997,0.883773161145
3,0,0,11928,15440,4.9568776258,5343,0.198379630985,0.302593610541,0.734980348119,71,74,2,4796,7132,180,135,180,135,6423,4988,2076,4.23124046674,7.76241534168,10.4752224475,11.403850598,11.2037657948,0.000187160771102,0.0138498970616,0.186599288789,0.593673965937,0.891633913532,3.47548193389,7.00796726491,9.76824997094,11.1288349625,11.1354458906,0.000561482313307,0.0117911285794,0.183979037994,0.592738162081,0.888077858881
4,0,0,11948,15400,4.9599350522,5343,0.196235766536,0.299029365653,0.729927007299,63,62,1,4733,7215,162,128,162,128,6327,4990,2128,4.24948310164,7.77098963441,10.4644669461,11.3847766611,11.2037798951,0.0,0.0119782893506,0.175931124836,0.585064570466,0.889387984278,3.48725960086,7.00786138311,9.77759328097,11.1551302239,11.1495536421,0.000187160771102,0.0131012539772,0.187909414187,0.601347557552,0.889013662736
5,0,0,11933,15399,4.96472541497,5343,0.197902490149,0.298290056998,0.722066254913,65,66,3,4782,7151,179,121,179,121,6363,5010,2066,4.27051252619,7.78705338929,10.4796821982,11.4158333641,11.2226134914,0.0,0.0134755755194,0.181171626427,0.606213737601,0.900056148231,3.49483190746,7.02466885428,9.80250224758,11.1509539372,11.1563946567,0.000187160771102,0.011042485495,0.18341755568,0.590492232828,0.893505521243
6,0,0,12210,15707,4.95947881716,5343,0.19495324144,0.300696086521,0.7215047726,88,72,2,4834,7376,206,136,206,136,6391,5040,2199,4.24725260253,7.76647581855,10.4767819563,11.4217708839,11.2309148076,0.0,0.0129140932061,0.180235822572,0.597978663672,0.902302077485,3.4641801826,6.99337773744,9.79136844978,11.1446702992,11.1681933249,0.0,0.0117911285794,0.191465468838,0.603593486805,0.890885270447
7,0,0,11760,15198,4.96003196098,5343,0.197308446589,0.297329736539,0.725060827251,65,77,1,4647,7113,170,116,170,116,6247,4898,2055,4.24984154069,7.77017090143,10.4852628456,11.4183710998,11.2160268839,0.000187160771102,0.0112296462661,0.178738536403,0.603406326034,0.898371701291,3.48061741106,7.0446575779,9.80287845352,11.1324786993,11.1303564293,0.000187160771102,0.0102938424106,0.189032378813,0.596481377503,0.888639341194
8,0,0,11724,15141,4.9599183752,5343,0.200183823432,0.301471297055,0.72318921954,66,64,2,4638,7086,171,138,171,138,6220,4935,2120,4.24653335375,7.77373621292,10.4677857423,11.3982526017,11.2234160743,0.0,0.0132884147483,0.189406700356,0.593673965937,0.901366273629,3.49102695847,7.04026312785,9.79628816367,11.1535873903,11.1523947777,0.000187160771102,0.0123526108928,0.191652629609,0.599663110612,0.891821074303
9,0,0,12155,15618,4.95475334053,5343,0.203378778271,0.300965094048,0.733670222721,73,66,5,4814,7341,179,130,179,130,6515,5146,2096,4.27585593427,7.81138373366,10.4762763565,11.3999888176,11.2051722624,0.000187160771102,0.012726932435,0.181545947969,0.59086655437,0.894067003556,3.44882192573,6.99317674163,9.74540114292,11.0934778848,11.1278804721,0.0,0.0114168070372,0.192214111922,0.591053715141,0.88452180423
10,0,0,12232,15715,4.95892041799,5343,0.200653574625,0.2939972639,0.727119595733,67,68,0,4946,7286,169,132,169,132,6544,5035,2225,4.21943247627,7.72646491941,10.4477276498,11.3881620653,11.2217748949,0.000374321542205,0.0121654501217,0.177241250234,0.586374695864,0.897061575894,3.452057854,7.02735602402,9.81957773705,11.1274034648,11.1465892815,0.000187160771102,0.0116039678083,0.195770166573,0.597417181359,0.89481564664
11,0,0,12072,15661,4.9586911443,5343,0.200260020613,0.297059023759,0.729552685757,56,70,2,4783,7289,165,130,165,130,6443,4984,2142,4.25018473485,7.75480898589,10.4631951259,11.3965662623,11.2179997202,0.0,0.0129140932061,0.183979037994,0.589743589744,0.89986898746,3.47554548074,7.02288204525,9.77116780144,11.101330768,11.1286397207,0.000187160771102,0.0134755755194,0.190342504211,0.592925322852,0.882088714206
12,0,0,11901,15414,4.95737099869,5343,0.199814287293,0.299240532195,0.722440576455,83,63,1,4641,7260,193,135,193,135,6300,4988,2142,4.26335325536,7.77300471354,10.4837814076,11.4106368058,11.2213258821,0.000187160771102,0.0134755755194,0.183979037994,0.59423544825,0.898746022834,3.47659518624,6.99500603585,9.77829962426,11.1076760302,11.1290448915,0.0,0.0104810031817,0.182294591054,0.596481377503,0.887703537339
13,0,0,12159,15746,4.95787390129,5343,0.203703128717,0.29569528835,0.731611454239,67,69,0,4801,7358,169,104,169,104,6495,5039,2149,4.24714729758,7.77782050589,10.4614100684,11.3977809748,11.2188164034,0.0,0.0132884147483,0.18173310874,0.592176679768,0.898558862063,3.47956378959,7.0232022349,9.78876224597,11.1196107548,11.137940777,0.0,0.0125397716639,0.195583005802,0.596107055961,0.886580572712
14,0,0,11764,15201,4.95769963366,5343,0.20214315436,0.295636031649,0.726932434962,63,68,2,4648,7116,167,130,167,130,6275,4855,2064,4.24764811659,7.77241762385,10.482863949,11.4208415419,11.2151429585,0.0,0.012726932435,0.179674340258,0.60097323601,0.894628485869,3.47449548067,7.00994083915,9.77161962164,11.1230760193,11.1472297871,0.0,0.0132884147483,0.1884708965,0.594796930563,0.894441325098
15,0,0,11856,15286,4.96352719363,5343,0.199384337721,0.305794624085,0.739472206625,65,71,2,4656,7200,178,135,178,135,6264,5056,2110,4.21885665515,7.76263100462,10.4800598048,11.3938534784,11.220177542,0.000187160771102,0.0136627362905,0.185850645705,0.58918210743,0.899120344376,3.50514350641,7.03830123356,9.77732632533,11.1228710448,11.1086363685,0.0,0.0123526108928,0.19183979038,0.595171252106,0.880591428037
16,0,0,12148,15667,4.95726820391,5343,0.204773837773,0.298950455142,0.721691933371,84,65,0,4708,7440,184,135,184,135,6366,5096,2151,4.25491222926,7.75279887173,10.4700056962,11.4054400822,11.220177542,0.0,0.0114168070372,0.181920269512,0.588620625117,0.89986898746,3.4641015324,7.01545267143,9.78539010102,11.1273574898,11.1389357477,0.000374321542205,0.012726932435,0.193898558862,0.600598914468,0.889387984278
17,0,0,11706,15108,4.95930405903,5343,0.194117841181,0.295865656329,0.722253415684,74,69,2,4560,7146,170,139,170,139,6103,4929,2121,4.23715357944,7.76187905949,10.4776514492,11.404363895,11.2066507569,0.000561482313307,0.0123526108928,0.176118285607,0.59086655437,0.892756878158,3.49536434629,7.03556748568,9.81102283268,11.1233897782,11.1344310065,0.0,0.0116039678083,0.194085719633,0.594609769792,0.883960321917
18,0,0,11896,15397,4.96043543223,5343,0.200508034303,0.301794596875,0.72842972113,69,71,2,4669,7227,183,118,183,118,6253,5025,2152,4.23841580448,7.76364728179,10.4759718327,11.392245661,11.2135095921,0.000187160771102,0.0131012539772,0.182107430283,0.584315927382,0.897248736665,3.49528828585,7.01998903549,9.80744902934,11.1546052782,11.1488606616,0.0,0.0106681639528,0.18341755568,0.601721879094,0.887703537339
19,0,0,12301,15845,4.95414904458,5343,0.202766286572,0.299441912077,0.723002058768,82,70,2,4947,7354,187,126,187,126,6580,5158,2124,4.25765761611,7.77537012558,10.4881956052,11.4132286023,11.226042909,0.000187160771102,0.0151600224593,0.176679767921,0.603593486805,0.899681826689,3.45900122685,6.97086399806,9.72582499377,11.107186806,11.1409816005,0.000187160771102,0.0104810031817,0.187535092645,0.586000374322,0.887142055025
20,0,0,11879,15397,4.96596736087,5343,0.203669814309,0.302456324408,0.730675650384,82,61,3,4658,7221,184,123,184,123,6296,5033,2106,4.24927950218,7.76019343518,10.4615253839,11.4022479426,11.22748539,0.0,0.0108553247239,0.178551375632,0.59086655437,0.901927755942,3.50108215377,7.0297986732,9.79889424561,11.1360867483,11.1229715109,0.000187160771102,0.0123526108928,0.190342504211,0.606588059143,0.881714392663
21,0,0,11811,15174,4.96262558463,5343,0.200886529774,0.302329801132,0.710087965562,71,59,1,4497,7314,175,132,175,132,6037,4999,2150,4.26347401881,7.789438309,10.4926477773,11.439024867,11.2195517441,0.000187160771102,0.0129140932061,0.187909414187,0.610144113794,0.897061575894,3.47126165476,7.03684021205,9.81091152538,11.1293988082,11.1378050488,0.000187160771102,0.0123526108928,0.189968182669,0.60097323601,0.886767733483
