lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5
real,0,0,13237,16637,4.95285503561,5343,0.195364860586,0.302467146844,0.717012914093,69,68,1,2973,10264,156,151,156,151,4378,5348,2226,4.22249746601,7.74993455697,10.5841091225,11.5412218161,11.222238008,0.0,0.0174059517125,0.2376941793,0.663672094329,0.895751450496,3.43328671263,6.99155386015,9.84071761392,11.2058701095,11.1689095417,0.000187160771102,0.0140370578327,0.222908478383,0.644956017219,0.906981096762
0,0,0,11620,14907,4.96975570229,5343,0.194605314015,0.299065650659,0.715515627924,63,59,0,4614,7006,152,145,152,145,6141,4868,2120,4.26216729878,7.79008100889,10.5000562436,11.3962841376,11.1662612871,0.000187160771102,0.012726932435,0.187535092645,0.585064570466,0.874040801048,3.55248228191,7.11125806498,9.93355324595,11.1882167269,11.135621576,0.0,0.0108553247239,0.196705970429,0.605652255287,0.886767733483
1,0,0,11678,15051,4.97474815104,5343,0.197222312299,0.297730824753,0.724312184166,62,62,3,4466,7212,160,129,160,129,6031,4930,2159,4.28845952271,7.81075294447,10.532090483,11.415478862,11.1763445543,0.0,0.0121654501217,0.183604716451,0.588620625117,0.880029945723,3.54933995925,7.0956716756,9.90795590711,11.1958637078,11.1548959902,0.0,0.0129140932061,0.195395845031,0.608459666854,0.88957514505
2,0,0,11853,15116,4.97093787727,5343,0.200163287012,0.298655009691,0.708216357851,61,60,0,4640,7213,150,131,150,131,6107,5026,2141,4.26606896704,7.80708444046,10.5165241629,11.426424432,11.1837118314,0.0,0.0116039678083,0.193898558862,0.597230020588,0.881340071121,3.51231384683,7.10182689545,9.9252058414,11.1995196464,11.1566862074,0.0,0.0129140932061,0.189219539585,0.607149541456,0.889762305821
3,0,0,11495,14793,4.97689128552,5343,0.191443957106,0.296515474528,0.704847463972,71,61,1,4535,6960,164,129,164,129,6028,4718,2131,4.26682210328,7.80409199397,10.5261200583,11.4162782758,11.178861846,0.000187160771102,0.011042485495,0.181545947969,0.596294216732,0.882650196519,3.54868831954,7.11484922075,9.91950962772,11.2268502094,11.1556995626,0.000374321542205,0.0106681639528,0.198951899682,0.622309563915,0.892756878158
4,0,0,11798,15106,4.96109585539,5343,0.192700130069,0.298137093578,0.727306756504,59,59,4,4558,7240,162,128,162,128,6092,4875,2129,4.26893717053,7.82419880351,10.518032885,11.4162397757,11.1569398044,0.0,0.0123526108928,0.184353359536,0.596107055961,0.873104997193,3.49853585676,7.02551383975,9.87933393804,11.170272823,11.1282213848,0.000187160771102,0.0129140932061,0.203630918959,0.605090772974,0.88283735729
5,0,0,11522,14828,4.97616877907,5343,0.18779396422,0.299765211558,0.719633164889,76,53,3,4585,6937,162,122,162,122,6118,4771,2118,4.25540493107,7.80061871039,10.4936889198,11.428039413,11.1795611733,0.0,0.0123526108928,0.182856073367,0.599475949841,0.881340071121,3.56458820998,7.11557000729,9.91717509999,11.1978438814,11.158018156,0.000187160771102,0.0125397716639,0.193711398091,0.606775219914,0.889387984278
6,0,0,11745,15164,4.97623009157,5343,0.192996694783,0.30089889231,0.711959573273,66,65,2,4659,7086,166,129,166,129,6277,4946,2102,4.27855080344,7.79337293735,10.4865464492,11.4126333315,11.1729292369,0.000187160771102,0.0134755755194,0.186973610331,0.594422609021,0.876661051844,3.55645282247,7.11571437233,9.92114835558,11.2003528234,11.1534325854,0.000374321542205,0.0117911285794,0.187535092645,0.606775219914,0.887142055025
7,0,0,11708,15032,4.96972038629,5343,0.195860932509,0.296457426973,0.715702788695,67,57,3,4578,7130,170,145,170,145,6141,4805,2157,4.26692103643,7.80967143226,10.5365326791,11.4247382571,11.1868690213,0.0,0.0123526108928,0.188096574958,0.594422609021,0.884147482688,3.52288712512,7.09171613967,9.91169257706,11.1946150739,11.1488651326,0.000187160771102,0.0125397716639,0.194834362718,0.607336702227,0.887703537339
8,0,0,11640,14824,4.97898901371,5343,0.201927048489,0.294386125057,0.711772412502,56,53,2,4525,7115,141,126,141,126,5994,4802,2117,4.2686609203,7.83378890835,10.5511044168,11.4394514718,11.1858302241,0.0,0.0117911285794,0.192214111922,0.605090772974,0.87946846341,3.563567448,7.12862954504,9.95833912999,11.2195707943,11.1523562723,0.000187160771102,0.0104810031817,0.200636346622,0.618379187722,0.889387984278
