lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5
real,0,0,18508,22523,4.96009179143,6197,0.217540644211,0.3473757662,0.662901403905,131,193,120,10028,8480,510,197,510,197,12250,8289,5081,4.39234187549,8.0054201918,10.8899157885,11.7469455126,11.3675037908,0.000161368404066,0.016943682427,0.285783443602,0.773761497499,0.963369372277,4.39696085437,7.77168555922,10.6522577448,11.6288448485,11.3315362513,0.0,0.0135549459416,0.274487655317,0.736969501372,0.952234952396
0,0,0,16207,20185,4.97479803687,6197,0.214973284913,0.332256172201,0.672422139745,113,154,96,8770,7437,415,176,415,176,10987,7145,4563,4.45151877474,8.06164155351,10.8545319604,11.605114227,11.2865909348,0.000161368404066,0.0100048410521,0.224947555269,0.678392770695,0.929320639019,4.41540808098,7.88768998963,10.710475022,11.5584983619,11.2673036206,0.0,0.0125867355172,0.259641762143,0.691624979829,0.927545586574
1,0,0,16553,20530,4.97005829577,6197,0.210749725359,0.330771718185,0.683233822817,126,147,105,8936,7617,450,190,450,190,11097,7285,4674,4.43067187802,8.04474864598,10.8260737916,11.611811831,11.2750460933,0.000161368404066,0.0137163143457,0.210263030499,0.678392770695,0.925286428917,4.42356063302,7.85542662336,10.6795773857,11.5720721084,11.2684002085,0.0,0.0137163143457,0.264805551073,0.69920929482,0.928029691786
2,0,0,16051,19976,4.97748145071,6197,0.21230390638,0.339948309268,0.678070033887,107,141,113,8926,7125,429,188,429,188,11076,7313,4489,4.47512689085,8.10166021339,10.8798076267,11.6312234185,11.2721038853,0.000161368404066,0.0103275778603,0.218170082298,0.686299822495,0.925447797321,4.44271092299,7.87583707952,10.6971904882,11.5689938963,11.2357507781,0.000161368404066,0.0132322091335,0.259803130547,0.690011295788,0.91350653542
3,0,0,16402,20433,4.9750067532,6197,0.210937668732,0.336282951647,0.669517508472,110,165,113,8934,7468,452,169,452,169,11077,7279,4656,4.43570913325,8.06195706851,10.8568916375,11.6314028055,11.2559116662,0.0,0.0114571566887,0.222688397612,0.687590769727,0.920445376795,4.42681989484,7.88808095732,10.7041568778,11.5729635121,11.2560506336,0.0,0.0159754720026,0.260287235759,0.70001613684,0.925770534129
4,0,0,16184,20187,4.97748030477,6197,0.20742500847,0.333891273541,0.68371792803,105,160,107,8822,7362,438,174,438,174,11029,7178,4640,4.46331497196,8.07958935138,10.8371189562,11.591275558,11.25840142,0.0,0.0116185250928,0.215588187833,0.676940455059,0.91867032435,4.42838353822,7.90089558069,10.7258820094,11.5537728085,11.2619474862,0.0,0.0130708407294,0.262869130224,0.690172664192,0.926416007746
5,0,0,16393,20463,4.97486054238,6197,0.207857103837,0.330473481373,0.664837824754,105,153,103,8906,7487,425,181,425,181,11134,7232,4740,4.45080562253,8.07234234922,10.8266305237,11.5990888381,11.2487964182,0.000161368404066,0.0101662094562,0.216233661449,0.674519928998,0.915120219461,4.44351242755,7.89802972565,10.701276325,11.5631873901,11.2753009127,0.000161368404066,0.0143617879619,0.258028078102,0.693400032274,0.928029691786
6,0,0,16334,20341,4.97608429619,6197,0.213250754646,0.334352210075,0.669356140068,100,170,96,8925,7409,431,165,431,165,11109,7318,4653,4.46698800773,8.07420142843,10.8373207263,11.621422694,11.257232245,0.000161368404066,0.0103275778603,0.220106503147,0.682588349201,0.920768113603,4.44915991447,7.88806336467,10.697266298,11.5550930294,11.2677237633,0.0,0.0114571566887,0.258512183315,0.694690979506,0.929482007423
7,0,0,16376,20436,4.9727102485,6197,0.210589349895,0.32953007544,0.680006454736,114,160,106,8840,7536,450,182,450,182,11065,7271,4601,4.45368652236,8.06833746524,10.8335061613,11.6143178392,11.2751403128,0.0,0.012102630305,0.218492819106,0.682265612393,0.924479586897,4.42575847345,7.87128422719,10.6647575995,11.5398720006,11.2583611444,0.0,0.0142004195579,0.258996288527,0.680813296756,0.925125060513
8,0,0,16415,20406,4.97865509592,6197,0.212709365491,0.334298219668,0.68968855898,105,143,100,8860,7555,409,165,409,165,11087,7252,4735,4.4433976679,8.06735687454,10.8450491267,11.6327469727,11.2772763043,0.000161368404066,0.0100048410521,0.214781345812,0.688720348556,0.927061481362,4.42888890764,7.90571894116,10.7034035306,11.5563231151,11.2430313495,0.000161368404066,0.0127481039213,0.253832499597,0.693561400678,0.919638534775
